Month,Monthly milk production: pounds per cow,Number of Cows
07-Feb,589,30
07-Mar,561,32
07-Apr,640,35
07-May,656,35
07-Jun,727,35
07-Jul,697,35
07-Aug,640,35
07-Sep,599,35
07-Oct,568,35
07-Nov,577,35
07-Dec,553,37
08-Jan,582,37
08-Feb,600,37
08-Mar,566,37
08-Apr,653,37
08-May,673,37
08-Jun,742,37
08-Jul,716,37
08-Aug,660,37
08-Sep,617,37
08-Oct,583,42
08-Nov,587,42
08-Dec,565,42
09-Jan,598,42
09-Feb,628,42
09-Mar,618,42
09-Apr,688,42
09-May,705,42
09-Jun,770,42
09-Jul,736,42
09-Aug,678,
09-Sep,639,
09-Oct,604,42
09-Nov,611,41
09-Dec,594,41
10-Jan,634,41
10-Feb,658,41
10-Mar,622,41
10-Apr,709,41
10-May,722,44
10-Jun,782,44
10-Jul,756,44
10-Aug,702,44
10-Sep,653,44
10-Oct,615,
10-Nov,621,
10-Dec,602,
11-Jan,,44
11-Feb,,44
11-Mar,,44
11-Apr,,44
11-May,755,44
11-Jun,811,48
11-Jul,798,48
11-Aug,735,48
11-Sep,697,48
11-Oct,661,48
11-Nov,667,48
11-Dec,645,48
12-Jan,688,48
12-Feb,713,48
12-Mar,667,48
12-Apr,762,
12-May,784,
12-Jun,837,
12-Jul,817,48
12-Aug,767,48
12-Sep,722,48
12-Oct,681,48
12-Nov,687,48
12-Dec,660,55
13-Jan,698,55
13-Feb,717,55
13-Mar,696,55
13-Apr,775,55
13-May,796,55
13-Jun,858,55
13-Jul,,55
13-Aug,,55
13-Sep,,55
13-Oct,,55
13-Nov,706,52
13-Dec,677,52
14-Jan,711,52
14-Feb,734,52
14-Mar,690,
14-Apr,785,
14-May,805,45
14-Jun,871,45
14-Jul,845,45
14-Aug,801,45
14-Sep,764,45
14-Oct,725,52
14-Nov,723,52
14-Dec,690,52
15-Jan,734,52
15-Feb,750,52
15-Mar,707,52
15-Apr,807,46
15-May,824,46
15-Jun,886,46
15-Jul,859,46
15-Aug,819,46
15-Sep,783,
15-Oct,740,
15-Nov,747,55
15-Dec,711,55
16-Jan,751,55
16-Feb,804,55
16-Mar,756,55
16-Apr,860,55
16-May,,55
16-Jun,,55
16-Jul,,55
16-Aug,869,55
16-Sep,834,55
16-Oct,790,55
16-Nov,800,55
16-Dec,763,55
17-Jan,800,55
17-Feb,826,55
17-Mar,799,55
17-Apr,890,55
17-May,,59
17-Jun,961,59
17-Jul,935,59
17-Aug,894,59
17-Sep,855,59
17-Oct,809,59
17-Nov,810,59
17-Dec,766,59
18-Jan,805,59
18-Feb,821,59
18-Mar,773,59
18-Apr,,59
18-May,898,59
18-Jun,957,
18-Jul,924,
18-Aug,881,
18-Sep,837,57
18-Oct,784,57
18-Nov,791,57
18-Dec,760,57
19-Jan,802,57
19-Feb,828,57
19-Mar,778,57
19-Apr,889,57
19-May,902,57
19-Jun,,57
19-Jul,,57
19-Aug,,57
19-Sep,867,57
19-Oct,815,62
19-Nov,812,62
19-Dec,773,62
20-Jan,813,62
20-Feb,834,62
20-Mar,782,62
20-Apr,892,62
20-May,903,
20-Jun,966,
20-Jul,937,62
20-Aug,896,62
20-Sep,858,62
20-Oct,,62
20-Nov,,62
20-Dec,797,62
21-Jan,843,62
