,Month,Monthly milk production: pounds per cow,Number of Cows,Total Milk Production,Price_Per_Pound,Total Revenue
0,07-Feb,589,30,,0.22,
1,07-Mar,561,32,,0.22,
2,07-Apr,640,35,,0.22,
3,07-May,656,35,,0.22,
4,07-Jun,727,35,,0.22,
5,07-Jul,697,35,,0.22,
6,07-Aug,640,35,,0.22,
7,07-Sep,599,35,,0.22,
8,07-Oct,568,35,,0.22,
9,07-Nov,577,35,,0.22,
10,07-Dec,553,37,,0.22,
11,08-Jan,582,37,,0.22,
12,08-Feb,600,37,,0.22,
13,08-Mar,566,37,,0.22,
14,08-Apr,653,37,,0.22,
15,08-May,673,37,,0.22,
16,08-Jun,742,37,,0.22,
17,08-Jul,716,37,,0.22,
18,08-Aug,660,37,,0.22,
19,08-Sep,617,37,,0.22,
20,08-Oct,583,42,,0.22,
21,08-Nov,587,42,,0.22,
22,08-Dec,565,42,,0.22,
23,09-Jan,598,42,,0.22,
24,09-Feb,628,42,,0.22,
25,09-Mar,618,42,,0.22,
26,09-Apr,688,42,,0.22,
27,09-May,705,42,,0.24,
28,09-Jun,770,42,,0.24,
29,09-Jul,736,42,,0.24,
30,09-Aug,678,42,,0.24,
31,09-Sep,639,42,,0.24,
32,09-Oct,604,42,,0.24,
33,09-Nov,611,41,,0.24,
34,09-Dec,594,41,,0.24,
35,10-Jan,634,41,,0.24,
36,10-Feb,658,41,,0.24,
37,10-Mar,622,41,,0.24,
38,10-Apr,709,41,,0.24,
39,10-May,722,44,,0.24,
40,10-Jun,782,44,,0.24,
41,10-Jul,756,44,,0.24,
42,10-Aug,702,44,,0.24,
43,10-Sep,653,44,,0.24,
44,10-Oct,615,44,,0.24,
45,10-Nov,621,44,,0.24,
46,10-Dec,602,44,,0.24,
47,11-Jan,755.5,44,,0.24,
48,11-Feb,755.5,44,,0.24,
49,11-Mar,755.5,44,,0.24,
50,11-Apr,755.5,44,,0.24,
51,11-May,755,44,,0.24,
52,11-Jun,811,48,,0.24,
53,11-Jul,798,48,,0.24,
54,11-Aug,735,48,,0.24,
55,11-Sep,697,48,,0.24,
56,11-Oct,661,48,,0.24,
57,11-Nov,667,48,,0.24,
58,11-Dec,645,48,,0.24,
59,12-Jan,688,48,,0.24,
60,12-Feb,713,48,,0.24,
61,12-Mar,667,48,,0.24,
62,12-Apr,762,48,,0.24,
63,12-May,784,48,,0.24,
64,12-Jun,837,48,,0.24,
65,12-Jul,817,48,,0.24,
66,12-Aug,767,48,,0.24,
67,12-Sep,722,48,,0.24,
68,12-Oct,681,48,,0.24,
69,12-Nov,687,48,,0.24,
70,12-Dec,660,55,,0.24,
71,13-Jan,698,55,,0.24,
72,13-Feb,717,55,,0.24,
73,13-Mar,696,55,,0.24,
74,13-Apr,775,55,,0.24,
75,13-May,796,55,,0.24,
76,13-Jun,858,55,,0.24,
77,13-Jul,755.5,55,,0.24,
78,13-Aug,755.5,55,,0.24,
79,13-Sep,755.5,55,,0.24,
80,13-Oct,755.5,55,,0.24,
81,13-Nov,706,52,,0.27,
82,13-Dec,677,52,,0.27,
83,14-Jan,711,52,,0.27,
84,14-Feb,734,52,,0.27,
85,14-Mar,690,52,,0.27,
86,14-Apr,785,52,,0.27,
87,14-May,805,45,,0.27,
88,14-Jun,871,45,,0.27,
89,14-Jul,845,45,,0.27,
90,14-Aug,801,45,,0.27,
91,14-Sep,764,45,,0.27,
92,14-Oct,725,52,,0.27,
93,14-Nov,723,52,,0.27,
94,14-Dec,690,52,,0.27,
95,15-Jan,734,52,,0.27,
96,15-Feb,750,52,,0.27,
97,15-Mar,707,52,,0.27,
98,15-Apr,807,46,,0.27,
99,15-May,824,46,,0.27,
100,15-Jun,886,46,,0.27,
101,15-Jul,859,46,,0.27,
102,15-Aug,819,46,,0.27,
103,15-Sep,783,46,,0.27,
104,15-Oct,740,46,,0.27,
105,15-Nov,747,55,,0.27,
106,15-Dec,711,55,,0.27,
107,16-Jan,751,55,,0.27,
108,16-Feb,804,55,,0.27,
109,16-Mar,756,55,,0.27,
110,16-Apr,860,55,,0.27,
111,16-May,755.5,55,,0.27,
112,16-Jun,755.5,55,,0.27,
113,16-Jul,755.5,55,,0.27,
114,16-Aug,869,55,,0.27,
115,16-Sep,834,55,,0.31,
116,16-Oct,790,55,,0.31,
117,16-Nov,800,55,,0.31,
118,16-Dec,763,55,,0.31,
119,17-Jan,800,55,,0.31,
120,17-Feb,826,55,,0.31,
121,17-Mar,799,55,,0.31,
122,17-Apr,890,55,,0.31,
123,17-May,755.5,59,,0.31,
124,17-Jun,961,59,,0.31,
125,17-Jul,935,59,,0.31,
126,17-Aug,894,59,,0.31,
